scenario_id,title,category,blind_spots,target_stages,difficulty,clinical_severity,statistical_rarity,cancer_type,rag_domain,guideline_ref,version
PROMPT-R01,Dual Driver Resistance: EGFR T790M + MET Amplification Bypass,DUAL_MUTATION_RESISTANCE,BS01,STAGE_4_SLM;STAGE_1_ML,HARD,HIGH,RARE,NSCLC,guidelines,NCCN-NSCLC-v4.2024,1.0.0
PROMPT-R02,Complex Negation / Contrasting Clause Respiratory Hazard,COMPLEX_NEGATION,BS02,STAGE_3_NLP,HARD,CRITICAL,UNCOMMON,Colorectal,guidelines,ASCO-Emergency-Triage-2023,1.0.0
PROMPT-R03,Sub-Centimeter Primary with Malignant Pleural Effusion (T1a N0 M1a - Stage IVA),CROSS_STAGE_DISCORDANCE,BS03,STAGE_1_ML;STAGE_4_SLM,EXTREME,CRITICAL,RARE,NSCLC,guidelines,AJCC-Cancer-Staging-8th-Ed,1.0.0
PROMPT-R04,Borderline Biomarkers in the Moderate-Risk Ambiguity Envelope,BORDERLINE_BIOMARKER,BS04,STAGE_1_ML,MODERATE,MODERATE,COMMON,Colorectal,guidelines,NCCN-Colorectal-Surveillance-v2,1.0.0
PROMPT-R05,Severe Nephrotoxicity Spike (Cr 3.8) vs Planned Cisplatin Continuation,ORGAN_TOXICITY_OVERRIDE,BS05,STAGE_4_SLM;STAGE_1_ML,HARD,CRITICAL,UNCOMMON,NSCLC,drug_labels,FDA-Cisplatin-Package-Insert,1.0.0
PROMPT-R06,Hyper-Acute Decompensation: Febrile Neutropenia to Septic Shock within 6 Hours,RAPID_SEPSIS_TEMPORAL,BS06,STAGE_1_ML;STAGE_3_NLP,EXTREME,CRITICAL,RARE,Breast,guidelines,ASCO-IDSA-Neutropenic-Fever-2023,1.0.0
PROMPT-R07,Sparse Envelope: Outside Transfer with >60% Missing Tabular Attributes,SPARSE_MATRIX_EXTREME,BS07,STAGE_1_ML;STAGE_2_DL,HARD,HIGH,UNCOMMON,Breast,guidelines,NCCN-Breast-Staging-Workup,1.0.0
PROMPT-R08,Ultra-Rare Quadruple Alteration: KRAS G12C + TP53 + STK11 + KEAP1,QUADRUPLE_MUTATION_RARE,BS08,STAGE_4_SLM;STAGE_1_ML,EXTREME,HIGH,EXTREMELY_RARE,NSCLC,guidelines,NCCN-NSCLC-Biomarkers-2024,1.0.0
PROMPT-R09,Sarcopenic Elderly Blind Spot: Normal Creatinine (0.9) with CrCl 24 mL/min,ELDERLY_DOSE_TOXICITY,BS09,STAGE_1_ML;STAGE_4_SLM,HARD,HIGH,UNCOMMON,Colorectal,drug_labels,FDA-Capecitabine-Label,1.0.0
PROMPT-R10,Rare Histology Intersection: Adenosquamous Carcinoma with EGFR Exon 19 Deletion,RARE_HISTOLOGY_MUTATION,BS10,STAGE_4_SLM;STAGE_1_ML,HARD,HIGH,RARE,NSCLC,guidelines,NCCN-Rare-Histologies-NSCLC,1.0.0
PROMPT-R11,Permanent Contraindication Violation: Checkpoint Inhibitor Re-Challenge after Grade 3 Myocarditis,IO_RECHALLENGE_MYOCARDITIS,BS11,STAGE_4_SLM;STAGE_3_NLP,EXTREME,CRITICAL,RARE,Melanoma,guidelines,ASCO-Immune-Toxicity-2023,1.0.0
PROMPT-R12,Inverse Weighting False-Alarm: Grade 1 Xerosis & Trace Proteinuria Provoking False Positive,INVERSE_WEIGHT_HAZARD,BS12,STAGE_3_NLP,MODERATE,LOW,COMMON,Colorectal,guidelines,CTCAE-v5.0-Toxicity,1.0.0
PROMPT-R13,"OOD Real Clinic Drift: Heavy Colloquial Abbreviations, Typos, and Copy-Paste Artifacts",OOD_DRIFT_RESISTANCE,BS13,STAGE_4_SLM;STAGE_3_NLP,HARD,HIGH,UNCOMMON,Breast,guidelines,EHR-Clinical-Documentation-Standards,1.0.0
PROMPT-R14,Conflicting Longitudinal Timeline: Progressive Imaging vs Stale 'Stable Disease' Note,TIMELINE_DISCORDANCE,BS14,STAGE_1_ML;STAGE_4_SLM,EXTREME,HIGH,UNCOMMON,Colorectal,guidelines,RECIST-1.1-Criteria,1.0.0
PROMPT-R15,Urgency Inversion Paradox: Asymptomatic Hypercalcemia (14.6 mg/dL) vs Loud Symptomatic Viral URI,ASYMPTOMATIC_HIGH_HAZARD,BS15,STAGE_3_NLP;STAGE_1_ML,HARD,CRITICAL,UNCOMMON,Breast,guidelines,NCCN-Hypercalcemia-Emergency,1.0.0
