Category,Rating,Evidence,Real_World_Gap
Data Quality,GREEN,"Zero corrupt files, 100% schema alignment, verified 12,000 tiles and 16,012 biomarker observations with 0% NaN in essential identifiers.","High internal synthetic quality; real-world clinical noise, tissue folding, and assay degradation not yet observed."
Data Diversity,YELLOW,"5 longitudinal trajectory patterns, 3 pathology classes, randomized stroma/exposure/stain gains across all classes.","Limited to procedural synthetic mathematical modes. Missing histological subtypes, mixed morphologies, and real multi-ethnic demographic variance."
Synthetic-to-Real Generalization,RED,Models trained and evaluated strictly on procedural synthetic data. High performance driven by non-overlapping generative equations.,Zero real-world patient data tested. Unproven transfer to actual Whole-Slide Images (WSI) or clinical plasma NGS/ddPCR assays.
Pathology Robustness,YELLOW,"ResNet-18 survives Gaussian noise (100% F1), exposure jitter (100% F1), and 2x downsampling (99.7% F1).","Severe degradation under blur (drops to 58.8% F1 at sigma=2.5) and 4x downsampling (83.8% F1). Zero evidence across external scanner brands (Aperio, Leica, Hamamatsu)."
Temporal Robustness,YELLOW,BiLSTM survives up to 50% assay noise (100% progression F1) and 15% missingness spikes (99.2% F1).,Progression F1 collapses to 0.0200 when trajectory is truncated to 3 visits. Drops to 78.4% under 50% missingness. Real irregular visit spacing untested.
Leakage Prevention,GREEN,Strict patient disjointness (Train/Val/Test intersection is empty). Historical boundary enforced (t <= 90d). Backward-looking velocity calculation verified.,Pipeline architecture prevents algorithmic leakage; real-world data collection requires strict electronic health record timestamp auditing.
Model Reproducibility,GREEN,"Deterministic inference, fixed random seed (42), versioned frozen checkpoint hashes (SHA-256), singleton model caching, 100% repeatable unit tests.",Fully reproducible on fixed CPU environment. Hardware platform cross-compilation (e.g. CUDA vs ROCm vs ONNX) not yet benchmarked.
Model Calibration,YELLOW,Softmax probabilities are extreme (0.0001 or 0.9998) due to synthetic procedural class separability. No temperature scaling or Platt scaling fitted.,Uncalibrated probabilities; cannot be interpreted as true Bayesian clinical posteriors in ambiguous real patient cases.
External Validation,RED,Zero external datasets utilized. Locked test set is an in-distribution synthetic split from the same procedural generator.,"Requires testing on external clinical biobanks (e.g. TCGA, CPTAC, or hospital registry datasets) before any generalizability can be claimed."
Clinical Validation,RED,Zero clinical trial data. Zero correlation with real patient overall survival (OS) or RECIST 1.1 progression.,No prospective or retrospective real clinical trial validation. System cannot demonstrate patient benefit or clinical safety.
Safety & Failure Trapping,GREEN,"Safety evaluator passed 12/12 edge cases: traps missing inputs, malformed images, future observations (>90d), forbidden target columns, and invalid weights.",Software input traps operate cleanly; clinical safety (fail-safe mechanisms for misleading predictions) requires human-in-the-loop expert review.
Human Oversight,GREEN,"Interactive Streamlit dashboard and API provide transparent score decomposition, tile galleries, and engineering provenance. Zero autonomous treatment prescription.",Oversight tooling exists for research; integration into clinical hospital workflows (PACS/EHR) and clinical decision audits not implemented.
Integration Reliability,GREEN,"Unified pipeline handles all 4 modality availability states (FULL_MULTIMODAL, PATHOLOGY_ONLY, TEMPORAL_ONLY, INSUFFICIENT_DATA). 12/12 unit tests pass.",Reliable engineering orchestration; requires multi-threaded production load testing under hospital network latency.
API Reliability & Security,YELLOW,"FastAPI service with Pydantic request validation, /health, /info, and /predict endpoints. Clean error trapping for boundary violations.","Research prototype API. Lacks production clinical security infrastructure: no OAuth2/JWT authentication, no audit logging, no HIPAA/HITRUST compliance."
Fairness & Demographics,RED,"Synthetic cohort has uniform age (45-79) and stage distributions (IIIA, IIIB, IV). Demographic data absent.","Fairness across real demographic groups (race, ethnicity, sex, socio-economic factors) cannot be evaluated from the current synthetic dataset."
Regulatory Readiness,RED,"Mandatory synthetic disclaimers displayed prominently across all dashboards, reports, and API payloads.","Zero regulatory qualification. Completely uncertified for FDA 510(k), De Novo, SaMD (Software as a Medical Device), or CE-IVDR deployment."
